gene_symbol,ensembl_id,token_id
ENSG00000285539,ENSG00000285539,57846
ENSG00000285540,ENSG00000285540,57847
ENSG00000285541,ENSG00000285541,57848
ENSG00000285542,ENSG00000285542,57849
ENSG00000285543,ENSG00000285543,57850
ENSG00000285544,ENSG00000285544,57851
ENSG00000285545,ENSG00000285545,57852
ENSG00000285547,ENSG00000285547,57853
ENSG00000285548,ENSG00000285548,57854
ENSG00000285549,ENSG00000285549,57855
ENSG00000285550,ENSG00000285550,57856
LINC02929,ENSG00000285551,57857
ENSG00000285552,ENSG00000285552,57858
ENSG00000285553,ENSG00000285553,57859
LINC02988,ENSG00000285554,57860
ENSG00000285555,ENSG00000285555,57861
ENSG00000285556,ENSG00000285556,57862
ENSG00000285557,ENSG00000285557,57863
ENSG00000285558,ENSG00000285558,57864
ENSG00000285559,ENSG00000285559,57865
ENSG00000285560,ENSG00000285560,57866
ENSG00000285561,ENSG00000285561,57867
ENSG00000285562,ENSG00000285562,57868
ENSG00000285563,ENSG00000285563,57869
ENSG00000285564,ENSG00000285564,57870
ENSG00000285565,ENSG00000285565,57871
ENSG00000285566,ENSG00000285566,57872
ENSG00000285567,ENSG00000285567,57873
ENSG00000285568,ENSG00000285568,57874
ENSG00000285569,ENSG00000285569,57875
ENSG00000285570,ENSG00000285570,57876
ENSG00000285571,ENSG00000285571,57877
ENSG00000285572,ENSG00000285572,57878
ENSG00000285573,ENSG00000285573,57879
ENSG00000285575,ENSG00000285575,57880
ENSG00000285576,ENSG00000285576,57881
ENSG00000285577,ENSG00000285577,57882
ENSG00000285578,ENSG00000285578,57883
ENSG00000285579,ENSG00000285579,57884
ENSG00000285580,ENSG00000285580,57885
ENSG00000285581,ENSG00000285581,57886
ENSG00000285582,ENSG00000285582,57887
ENSG00000285583,ENSG00000285583,57888
ENSG00000285584,ENSG00000285584,57889
ENSG00000285585,ENSG00000285585,57890
ENSG00000285586,ENSG00000285586,57891
ENSG00000285587,ENSG00000285587,57892
ENSG00000285588,ENSG00000285588,57893
ENSG00000285589,ENSG00000285589,57894
ENSG00000285590,ENSG00000285590,57895
ENSG00000285591,ENSG00000285591,57896
ENSG00000285592,ENSG00000285592,57897
ENSG00000285593,ENSG00000285593,57898
LINC02856,ENSG00000285594,57899
ENSG00000285595,ENSG00000285595,57900
ENSG00000285596,ENSG00000285596,57901
ENSG00000285597,ENSG00000285597,57902
ENSG00000285598,ENSG00000285598,57903
ENSG00000285599,ENSG00000285599,57904
ENSG00000285600,ENSG00000285600,57905
ENSG00000285601,ENSG00000285601,57906
ENSG00000285602,ENSG00000285602,57907
ENSG00000285603,ENSG00000285603,57908
ENSG00000285604,ENSG00000285604,57909
ENSG00000285605,ENSG00000285605,57910
ENSG00000285606,ENSG00000285606,57911
FAM90A9,ENSG00000285607,57912
ENSG00000285608,ENSG00000285608,57913
5S_rRNA-4,ENSG00000285609,57914
ENSG00000285610,ENSG00000285610,57915
ENSG00000285611,ENSG00000285611,57916
ENSG00000285612,ENSG00000285612,57917
ENSG00000285613,ENSG00000285613,57918
ENSG00000285614,ENSG00000285614,57919
ENSG00000285615,ENSG00000285615,57920
ENSG00000285616,ENSG00000285616,57921
ENSG00000285618,ENSG00000285618,57922
ENSG00000285619,ENSG00000285619,57923
FAM90A16,ENSG00000285620,57924
ENSG00000285621,ENSG00000285621,57925
ENSG00000285622,ENSG00000285622,57926
ENSG00000285623,ENSG00000285623,57927
ENSG00000285624,ENSG00000285624,57928
ENSG00000285625,ENSG00000285625,57929
5S_rRNA-5,ENSG00000285626,57930
ENSG00000285627,ENSG00000285627,57931
ENSG00000285628,ENSG00000285628,57932
ENSG00000285629,ENSG00000285629,57933
ENSG00000285630,ENSG00000285630,57934
ENSG00000285631,ENSG00000285631,57935
ENSG00000285632,ENSG00000285632,57936
ENSG00000285633,ENSG00000285633,57937
ENSG00000285634,ENSG00000285634,57938
ENSG00000285635,ENSG00000285635,57939
ENSG00000285636,ENSG00000285636,57940
ENSG00000285637,ENSG00000285637,57941
ENSG00000285638,ENSG00000285638,57942
ENSG00000285639,ENSG00000285639,57943
ENSG00000285640,ENSG00000285640,57944
ENSG00000285641,ENSG00000285641,57945
ENSG00000285642,ENSG00000285642,57946
ENSG00000285643,ENSG00000285643,57947
ENSG00000285644,ENSG00000285644,57948
ENSG00000285645,ENSG00000285645,57949
